OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI,LONG,LAT
49067,,,2743,CALDER FREEWAY OFF RAMP/MCNAMARA,RBT MTR,,,,,,,,OPERATIONAL,BUS PRI,,,,144.881,-37.732
49068,,,971,CANTERBURY/GREAT RYRIE,INT,,,,,,,,OPERATIONAL,,,,,145.237,-37.832
49069,,,2814,COOPER/EDGARS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.006,-37.65
49070,,,5190,BELLARINE HWY/WALLINGTON-OCEAN GROVE,INT,,,,,,,,OPERATIONAL,"Bluetooth,TELECOM",,,,144.51,-38.209
49071,,,2016,ROOKS NR MAURICE,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.186,-37.823
49072,,,2854,MICKLEHAM/BARRYMORE,INT,,,,,,,,OPERATIONAL,"Bluetooth,EVP,PARTFCRT",,,,144.882,-37.656
49073,,,6222,MC IVOR HWY NR PUTNAM,POS,,,,,,,,OPERATIONAL,PELICAN,,,,144.31,-36.759
49074,,,3254,GAP/ALDI ENTRANCE,INT,,,,,,,,OPERATIONAL,,,,,144.713,-37.579
49075,,,1105,HIGH STREET ROAD/EASTLINK,INT,,,,,,,,OPERATIONAL,"Bluetooth,RAMP SGN",,,,145.212,-37.877
49076,,,3090,BURGUNDY/MOUNT,INT,,,,,,,,OPERATIONAL,,,,,145.063,-37.756
49077,,,2356,NEPEAN HWY NR OAK,INT,,,,,,,,OPERATIONAL,,,,,145.064,-37.974
49078,,,5832,STURT/RIPON,INT,,,,,,,,OPERATIONAL,,,,,143.841,-37.56
49079,,,5283,SAYERS/FORSYTH,INT,,,,,,,,OPERATIONAL,,,,,144.731,-37.853
49080,,,2697,WINDSOR/CAPESTHORNE/LENNON PARKWAY,INT,,,,,,,,OPERATIONAL,DIDO,,,,144.762,-37.792
49081,,,547,PHE/RACECOURSE,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.493,-38.071
49082,,,546,HEATHERDALE NR RAIL STATION,POS,,,,,,,,OPERATIONAL,,,,,145.213,-37.819
49083,,,2710,MCDONALDS/OLEANDER/DANAHER,INT,,,,,,,,OPERATIONAL,,,,,145.081,-37.65
49084,,,1213,SUNBURY/BULLA/WILDWOOD,RBT MTR,,,,,,,,OPERATIONAL,DIDO,,,,144.816,-37.641
49085,,,1191,CHARLES GRIMES BRIDGE OFF RAMP,INT,,,,,,,,OPERATIONAL,"Bluetooth,PTS_SIGN,TRAM PRI",,,,144.948,-37.822
49086,,,3654,CHAPEL/MALCOLM,INT,,,,,,,,OPERATIONAL,TRAM PRI,,,,144.996,-37.837
49087,,,5317,TARNEIT/LEAKES,INT,,,,,,,,OPERATIONAL,,,,,144.673,-37.832
49088,,,5318,PALMERS/ASHCROFT,INT,,,,,,,,OPERATIONAL,,,,,144.748,-37.862
49089,,,1214,BULLA/SOMERTON(GREEN ST),RBT MTR,,,,,,,,OPERATIONAL,DIDO,,,,144.804,-37.637
49090,,,5402,Broadford-Kilmore Rd / Pinniger St,POS,,,,,,,,OPERATIONAL,PELICAN,,,,145.043,-37.207
49091,,,6218,CALDER/EDWARDS,INT,,,,,,,,OPERATIONAL,BIKECOUNT,,,,144.22,-36.754
49092,,,1560,CIVIC DRIVE & BUS INTERCHANGE,INT,,,,,,,,OPERATIONAL,,,,,145.066,-37.65
49093,,,3446,WHITEHALL/PARKER,INT,,,,,,,,OPERATIONAL,"Bike Det,METER",,,,144.903,-37.807
49094,,,3586,VANTAGE BOULEVARD/ELEVATION BOULEVARD,INT,,,,,,,,OPERATIONAL,,,,,144.893,-37.599
49095,,,1561,MCDONALDS ROAD / SOUTHLEE DRIVE,INT,,,,,,,,OPERATIONAL,,,,,145.074,-37.65
49096,,,1562,PHE / Starling Road / Siding Road,INT,,,,,,,,OPERATIONAL,"BUS PRI,METER",,,,145.415,-38.061
49097,,,5340,Birmingham Road near Alice Street,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.379,-37.784
49098,,,6802,PRINCES HWY WEST / ROONEYS ROAD,INT,,,,,,,,OPERATIONAL,,,,,142.455,-38.362
49099,,,5342,Derrimut Road / Wyndham Leisure & Event,INT,,,,,,,,OPERATIONAL,FIRE LNK,,,,144.682,-37.883
49100,,,6803,PRINCES HWY WEST / LINDSAY STREET,INT,,,,,,,,OPERATIONAL,,,,,142.443,-38.358
49101,,,1563,Lonsdale Street near Healeys Lane,POS,,,,,,,,OPERATIONAL,,,,,144.956,-37.813
49102,,,6252,CALDER/TAYLOR/WESLEY,INT,,,,,,,,OPERATIONAL,,,,,144.242,-36.803
49103,,,2566,EPPING NR TAGGERTY,POS,,,,,,,,OPERATIONAL,,,,,145.027,-37.634
49104,,,5162,SURF COAST/FEEHANS/COASTSIDE,INT,,,,,,,,OPERATIONAL,,,,,144.334,-38.241
49105,,,3656,BURNLEY/HIGHETT,INT,,,,,,,,OPERATIONAL,,,,,145.009,-37.817
49106,,,3657,BURNLEY/MURPHY,INT,,,,,,,,OPERATIONAL,,,,,145.009,-37.818
49107,,,3526,MILLERS/CABOT DRIVE,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.846,-37.844
49108,,,1401,CITY LINK/GIBDON ENTRY,RAMP MTR,,,,,,,,OPERATIONAL,VM CAP,,,,145.009,-37.831
49109,,,1249,AITKEN BLVD/SOMERTON/KIRKHAM,INT,,,,,,,,OPERATIONAL,,,,,144.909,-37.638
49110,,,1240,GREENS/KEY/PACIFIC,INT,,,,,,,,OPERATIONAL,,,,,145.182,-38.011
49111,,,1248,WINTON ROAD / PITT STREET,INT,,,,,,,,OPERATIONAL,,,,,145.069,-37.873
49112,,,1258,OAK ST BTW GARRARD AND POPLAR,POS,,,,,,,,OPERATIONAL,,,,,144.942,-37.779
49113,,,1262,LEAKES RD/BANFIELD CT,INT,,,,,,,,OPERATIONAL,,,,,144.762,-37.841
49114,,,1355,WELLINGTON BTW WESTMINSTER & TAYLORS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.241,-37.927
49115,,,5178,GRUBB/EMPRESS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.539,-38.239
49116,,,5174,CARTWRIGHT NR KELLIHER,FLASH PX,,,,,,,,OPERATIONAL,,,,,146.893,-36.14
49117,,,1369,HULL NR MANCHESTER,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.311,-37.789
49118,,,1370,MICKLEHAM/DELLAMORE,INT,,,,,,,,OPERATIONAL,,,,,144.884,-37.623
